id,title,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,status,num_episodes,source,average_episode_duration,rating,background,season,season_year,broadcast_day,broadcast_time,main_picture_url,genres,studios
7338,Darker than Black: Kuro no Keiyakusha Gaiden,2010-01-27,2010-07-21,"Fleeing from the consequences of his decision at the Hell's Gate, superpowered Contractor Hei and his companion Yin take refuge in a quiet inn, adopting the guise of a married couple in order to not draw suspicion. In an attempt to recover from recent events, Hei befriends the inn's other guests. He discovers that one of them is a fellow Contractor tasked with killing him. Their resulting encounter spells disaster for both Hei and Yin, who are forced to fight for their lives and grapple with the emotional wounds sustained in their previous life together.

[Written by MAL Rewrite]",7.9,834.0,999,264662,145593,finished_airing,4,original,1440,r,,winter,2010.0,,,https://cdn.myanimelist.net/images/anime/3/17469l.jpg,"Action, Mystery, Super Power",Bones
7343,Youbi Masochist Animation,1997,1997,"Based on the work of Harukawa Namio. Features various stills with minimal animation of fairly large bottomed women sitting on men's faces, subsequently urinating in their mouths.

(Source: AniDB)",5.12,,14893,898,295,finished_airing,2,,2015,rx,,,,,,https://cdn.myanimelist.net/images/anime/1682/119788l.webp,Hentai,
7354,Chikara to Onna no Yo no Naka,1933-04-13,1933-04-13,"The protagonist is a father of four children. His wife is 180 centimetres (5.9 ft) tall, and weighs 120 kilograms (260 lb) due to her incredibly large physique. Because he is constantly being henpecked at home, he becomes involved in an affair with a cute typist at his company and accidentally tells his wife about it while talking in his sleep. After obtaining additional evidence of the affair, she goes to confront both her husband and the typist at her husband's office.

(Source: Wikipedia)",5.78,11176.0,15396,775,139,finished_airing,1,original,120,g,,spring,1933.0,,,https://cdn.myanimelist.net/images/anime/5/17602l.webp,Historical,
7363,Hokuto no Ken: Legend of Heroes,2006-07-15,2006-07-15,"This short 6 minute 3D CGI film of Kenshiro's final battle with Raoh was created in 2006 and came out on DVD in 2007. This will most probably remain an exclusively Japanese release.

(Source: Hokuto No Gun)",5.97,10226.0,9685,4092,1670,finished_airing,1,manga,390,pg_13,,summer,2006.0,,,https://cdn.myanimelist.net/images/anime/9/17616l.webp,"Action, Martial Arts",Toei Animation
7364,Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,1992-07-11,1992-07-11,"The third Dragon Quest Dai no Daibouken movie. The story takes place between episode 35 and 36 of the TV series.

After yet again defeating some of Hadlar's (the leader of the Great Demon King's Army) warriors and saving the princess, Dai and his fellow adventurers are relaxing and helping with rebuilding the island village. Unbeknownst to them Hadlar was usurped by a new demon lord called Galbus, who immediately sets forth to once and for all destroy Dai, using his own sextet of champions. During the initial surprise attack Dai's friend Maam's soul is taken and in order to get it back Dai and his friends must attack Galbus on his chosen batlleground. Will Dai survive this?

(Source: Macros74)",6.38,7879.0,10937,2801,915,finished_airing,1,manga,2400,pg_13,,summer,1992.0,,,https://cdn.myanimelist.net/images/anime/1608/97554l.jpg,"Action, Adventure, Fantasy, Shounen",Toei Animation
7366,"Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e",1995-02-01,1995-02-01,"Please Save My Earth Movie: From Alice to Rin-kun is a two-hour movie narrated by Alice, reminiscing on the events of the OVA as she is on her way to meet with Rin in a park. The ""present day"" scenes of Alice and Rin from the movie add scenes that were not present in the manga.

(Source: Wikipedia)",6.63,6413.0,11163,2620,518,finished_airing,1,manga,5885,pg_13,,winter,1995.0,,,https://cdn.myanimelist.net/images/anime/9/17794l.jpg,"Drama, Romance, Sci-Fi, Shoujo",Production I.G
7367,Naruto: The Cross Roads,2009-10-12,2009-10-12,"The operation to find a missing person goes awry when Kakashi Hatake falls victim to a suspicious trap and gets separated from his students Naruto Uzumaki, Sasuke Uchiha, and Sakura Haruno. To make matters worse, the trio is ambushed by mysterious ninjas who capture Sakura, prompting Naruto and Sasuke to give chase.

As the two boys engage in a dangerous battle, not even Sasuke's troubling discovery about the mission can deter them from their endeavor to reunite the team and accomplish their task.

[Written by MAL Rewrite]",6.78,5512.0,3181,55914,25507,finished_airing,1,original,1620,pg_13,"Celebrating the 10th anniversary of the Naruto manga serialization, the spin-off premiered at the 2009 Jump Festa Anime Tour. It used the same CGI graphics as featured in the Naruto: Ultimate Ninja Storm game.

Although the OVA's story takes place as early as Naruto's episode 19, it also contains a scene set in between two of Naruto: Shippuden's arcs: the end of ""Fated Battle Between Brothers"" and the beginning of ""Five Kage Summit,"" or from episodes 144 to 197 respectively.",fall,2009.0,,,https://cdn.myanimelist.net/images/anime/11/27050l.jpg,"Action, Fantasy, Shounen",Pierrot
7374,100%,1990-09-07,1990-09-07,"A pretty 22-year-old girl leaves university and gets her dream job as a TV newscaster, only to discover that life is tough at the top. Adaptation of the ""Young Action"" manga by Michio Yanagisawa.

(Source: AniDB)",5.2,13106.0,13825,1195,286,finished_airing,1,,3200,r+,,summer,1990.0,,,https://cdn.myanimelist.net/images/anime/4/17650l.jpg,Drama,
7375,Shakugan no Shana-tan S,2009-10-23,2010-09-29,"Shana-tan specials bundled with the Shakugan no Shana S Blu-ray and DVD.

Episodes
#1: Shakugan no Shana-tan G
#2: Shakugan no Shana-tan 2dos
#3: Shakugan no Shana-tan 3tri
#4: Shakugan no Shana-tan FRONTIER",6.85,5165.0,4812,24361,10884,finished_airing,4,light_novel,354,pg_13,,fall,2009.0,,,https://cdn.myanimelist.net/images/anime/2/17657l.jpg,"Comedy, Parody",J.C.Staff
7376,Kurumiwari Ningyou,1979-03-03,1979-03-03,"The young girl Clara visits her Aunt Gerda and Uncle Drosselmeyer. Her aunt tells her scary stories about the Ragman, a creepy and mysterious man who turns children into mice if they don't go to bed on time. The Ragman is always spying on sleeping children searching for more victims.
Just before Clara goes to bed her eccentric uncle gives her a wooden nutcracker doll. He's a bit embarrassed because the only part on the doll that's perfect is the heart, but Clara loves her new doll.
She falls asleep but wakes up hearing mice squeaking...",6.22,8799.0,13655,1254,410,finished_airing,1,,5687,g,,winter,1979.0,,,https://cdn.myanimelist.net/images/anime/13/17651l.webp,"Drama, Fantasy, Romance",
